tweet,time
"SEBI Notifies Vault Managers Rules, Allows Bourses To Form Gold Exchange

Securities and Exchange Board of India has notified rules for vault managers that allow bourses to set up a gold exchange in the country
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options…",2022-01-03T18:43:59.000Z
"RBI Allows Offline Digital Payments To Penerate Rural India

To promote digital transactions in rural and semi-urban areas, the RBI has issued a framework allowing offline payments up to Rs 200 per transaction
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options …",2022-01-03T18:43:59.000Z
"Maruti Suzuki Records 2% Production Fall In December 2021

Maruti Suzuki said in a regulatory filing that total production during December 2021 was 1,52,029 units compared to 1,55,127 units in December 2020
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options #Tr…",2022-01-03T18:43:59.000Z
"Trading Day : 01 [JAN 2022]
Date : 2022-01-03
Capital Used : ₹ 40 Lakhs
Realised PnL : ₹ +47,823 

Cumulative Monthly PnL : ₹ +47,823 
RoI : +1.20 %

#Nifty #banknifty #dailypnl",2022-01-03T18:43:59.000Z
"Bought Berger paint 
@774
.45  quantity .S.l @ 720.60 . 
#swing #nse #Nifty  #SwingTrading",2022-01-03T18:43:59.000Z
So many #Nifty charts in the feed. The predictions are varying between 16800 to 18600. ,2022-01-03T18:43:59.000Z
"#NIFTY 
#Auto
All set for 11600-11800 in this leg of a Rally.
Weakness below 10900",2022-01-03T18:43:59.000Z
"Don't take idiots from 
@zerodhaonline
 's ""only 1% traders make money"" article seriously.They are desperate to be in the news. 
And those wannabe fund manager who scare you of trading just wants to sell their shitty portfolio Idea.
 #nifty #banknifty #zerodha #trading #Investing",2022-01-03T18:43:59.000Z
"F&O me to insider news pe bhi trading na karo.

#nifty #NIFTYFUTURE #BSE #market",2022-01-03T18:43:59.000Z
"Next 2-3 years for PSU Banks .... I'm extremely Bullish
#banknifty #nifty #PSUBanks",2022-01-03T18:43:59.000Z
#Nifty  Resistance  17898 n 18123,2022-01-03T18:43:59.000Z
"#Sensex Surges 929.40 Points (1.60%) to close at 59183.20, Today's High - 59266.39, Today's Low - 58306.45 
#NSE #Nifty #Stocks #StockMarket #StockMarkets #StockMarketIndia #ShareBazaar",2022-01-03T18:43:59.000Z
"#Nifty50 Soars 271.65 Points (1.57%) to close at 17625.70, Today's High -17646.65,  Today's Low - 17383.30
#NSE #Nifty #Stocks #StockMarket #StockMarkets #StockMarketIndia #ShareBazaar",2022-01-03T18:43:59.000Z
"May be market down from 22 Jan be cautious.
#Nifty #banknifty #StockMarketindia",2022-01-03T18:43:59.000Z
"Reality check

Zerodha CEO Nithin Kamath today commented less than 1% active traders beat FD returns over 3 years

#Nifty
#stocks
#q322",2022-01-03T18:43:59.000Z
"Me- Buy stock price goes down. Sell price goes up. 
Am I the bad guy 
#Nifty #sensex",2022-01-03T18:43:59.000Z
"now f*ck your puts and go long on nifty
target - 18200
as daily chart is looking good
#Nifty 
#StockMarket",2022-01-03T18:43:59.000Z
"Don't take idiots from 
@zerodhaonline
 's ""only 1% traders make money"" article seriously.They are desperate to be in the news. 
And those wannabe fund manager who scare you of trading just wants to sell their shitty portfolio Idea.
 #nifty #banknifty #zerodha #trading #Investing",2022-01-03T17:03:22.000Z
"F&O me to insider news pe bhi trading na karo.

#nifty #NIFTYFUTURE #BSE #market",2022-01-03T17:03:22.000Z
"Next 2-3 years for PSU Banks .... I'm extremely Bullish
#banknifty #nifty #PSUBanks",2022-01-03T17:03:22.000Z
#Nifty  Resistance  17898 n 18123,2022-01-03T17:03:22.000Z
"#Sensex Surges 929.40 Points (1.60%) to close at 59183.20, Today's High - 59266.39, Today's Low - 58306.45 
#NSE #Nifty #Stocks #StockMarket #StockMarkets #StockMarketIndia #ShareBazaar",2022-01-03T17:03:22.000Z
"#Nifty50 Soars 271.65 Points (1.57%) to close at 17625.70, Today's High -17646.65,  Today's Low - 17383.30
#NSE #Nifty #Stocks #StockMarket #StockMarkets #StockMarketIndia #ShareBazaar",2022-01-03T17:03:22.000Z
"May be market down from 22 Jan be cautious.
#Nifty #banknifty #StockMarketindia",2022-01-03T17:03:22.000Z
"Reality check

Zerodha CEO Nithin Kamath today commented less than 1% active traders beat FD returns over 3 years

#Nifty
#stocks
#q322",2022-01-03T17:03:22.000Z
"Me- Buy stock price goes down. Sell price goes up. 
Am I the bad guy 
#Nifty #sensex",2022-01-03T17:03:22.000Z
"now f*ck your puts and go long on nifty
target - 18200
as daily chart is looking good
#Nifty 
#StockMarket",2022-01-03T17:03:22.000Z
"#Welspunindustries
CMP 147.35
Target 168,228,322
SL 95
#Welspunind
#textilesindustry
#Nifty
#Bullrun",2022-01-03T17:03:22.000Z
"#Nifty #NiftyView #Jan4

I make a view on 3 basis- RT, DT & SA analysis.
Views for tomorrow:
RT - Sideways to bearish
DT - Bearish
SA - Bearish

NOTE- This is intraday view. I am ready next day with my view but i always have a stop loss because trader should always have a Plan B",2022-01-03T17:03:22.000Z
"Nifty ∝ No.of Covid cases  
#Nifty",2022-01-03T17:03:22.000Z
"Nifty will hit all time high 2022
#Nifty #StockMarket 
My view - May be Yessss",2022-01-03T17:03:22.000Z
"#TOMMOROW #NIFTY #BANKNIFTY 
FOCUS IT & BANNKING STOCKS LEAD REALLY",2022-01-03T17:03:22.000Z
#nifty #banknifty #dowjones last 2 trading days Nifty is up 450 points and bank nifty more then 1000 points any one who accepted advices of casino managers despite of all precautions they lost heavily end of 2021 and start of 2022 is Night mere for them be careful no shorts,2022-01-03T17:03:22.000Z
"When Markets go down, many don't invest fearing it may go down further.

When markets go up, they don't invest thinking, they will invest on dips. 

Many opportunities are missed due to this behavior.

#Investing #invest #Investment #Nifty #nifty50 #StockMarket #stocks",2022-01-03T17:03:22.000Z
"#TOMMOROW 
#BANKNIFTY 
#NIFTY 
GAP UP OPENING 

GN",2022-01-03T17:03:22.000Z
"Dollor 74.26
Brent crude 78$
Nifty 17625,,
Gold mcx 47850

#Nifty #NIFTYFUTURE #SGX 
#Investing",2022-01-03T17:03:22.000Z
"The only thing which is stopping me to believe that nifty will stop at 17800-18200 is that #FII have turned buyers after historic selling. Brace yourselves for more.
#prebudget #Rally #Nifty #NIFTYFUTURE #BankNiftyOptions #nse #Niftybank",2022-01-03T17:03:22.000Z
"After 150% Gain from March 2020 Low, The Year 2022 to 2024 (Next 3 Years) may like... ????

#NSE #BSE #Nifty #SenSex #Casino",2022-01-03T17:03:22.000Z
"Say a big Thank You to our #DIIs. They are the reason the indices didn't collapse 20%+ with 1.5 lakh crore FII selling. Don't get upset if they start booking some profit at 18k. 

#Nifty #Banknifty",2022-01-03T17:03:22.000Z
"Indian economy 
Trust your near and dear
#KEEP #nifty scrolling for 190000 #India #IndianEconomy",2022-01-03T17:03:22.000Z
Kya raha aaj? #BankNiftyOptions #StockMarket #stocks #StockMarketindia #Nifty,2022-01-03T17:03:22.000Z
"#FIIs sold for 1L crore+ in the last three months bringing #Nifty down 2000 points from ath. #FIIs bought for 1400 crore in two days. Now Nifty is only 1000 point away from ath. 
The increasing domestic inflow is going to be the backbone in the coming years.

#Trading #Investing",2022-01-03T17:03:22.000Z
"After 150% Gain from March 2020 Low, The Year 2022 to 2024 (Next 3 Years) may like... ????

#NSE #BSE #Nifty #SenSex #Casino",2022-01-03T15:20:28.000Z
"Say a big Thank You to our #DIIs. They are the reason the indices didn't collapse 20%+ with 1.5 lakh crore FII selling. Don't get upset if they start booking some profit at 18k. 

#Nifty #Banknifty",2022-01-03T15:20:28.000Z
"Indian economy 
Trust your near and dear
#KEEP #nifty scrolling for 190000 #India #IndianEconomy",2022-01-03T15:20:28.000Z
Kya raha aaj? #BankNiftyOptions #StockMarket #stocks #StockMarketindia #Nifty,2022-01-03T15:20:28.000Z
"#FIIs sold for 1L crore+ in the last three months bringing #Nifty down 2000 points from ath. #FIIs bought for 1400 crore in two days. Now Nifty is only 1000 point away from ath. 
The increasing domestic inflow is going to be the backbone in the coming years.

#Trading #Investing",2022-01-03T15:20:28.000Z
"           It's a HAT-TRICK


28/12/2021  -------SUCCESS RATE : 100%
31/12/2021  ------- SUCCESS RATE : 100%
03/01/2022 ------  SUCCESS RATE : 100%

#Nifty #StockMarket #Intraday #ShareMarket
#IntradayCalls #IntradayTips #FreeIntradayCalls",2022-01-03T15:20:28.000Z
"Dark secret of #StockMarket 

Ketan Parekh used to scam market like this:

1. Insider Trading,
2. Pump and Dump Trading, 
3. Circular Trading, 
4. Loans Defaulting.

Who says it doesn't happen now??

#BankNiftyOptions #Nifty #stocks",2022-01-03T15:20:28.000Z
"A new year blast  for Nifty today! 
Good to see bulls!

#Nifty",2022-01-03T15:20:28.000Z
Looks like last leg of bull market is yet to come. Will it take #Nifty north of 20k? Time will tell. Meanwhile stay invested and enjoy the ride #Investors.,2022-01-03T15:20:28.000Z
" TODAYS RESULT 

NO. OF CALL GIVEN : 2
SUCCESS RATE         :100%

#Nifty #StockMarket #Intraday #ShareMarket
#IntradayCalls #IntradayTips #FreeIntradayCalls",2022-01-03T15:20:28.000Z
"Ques:- India is in Developing State not in Developed. Do you know why?
Ans:- In rest of the world more than 50% people invest in Stock Market but in India it's less than 3%. So start investing today to help India grow and achive target of Developed.
#NFTs #Nifty #StockMarket",2022-01-03T15:20:28.000Z
#banknifty #nifty people are ready to loose money in the market but are not ready pay professionals and take there help,2022-01-03T15:20:28.000Z
"Movement for Tuesday 

BANKNIFTY gave a very good closing above 36400 levels. If this level is sustained then next upside levels are 36800 and 37000. 

For upside movement let market cross 36500 levels. 

We can see 37000 levels this week. 

#Options #Niftybank #Nifty #stocks",2022-01-03T15:20:28.000Z
"Will #2022 belong to Bulls. They showed their dominance today. 
#Nifty #banknifty #niftybank",2022-01-03T15:20:28.000Z
"#Nifty Spot Extreme Indicator at +119, Indicator Staying in positive zone has added wings to the index, carving out 300 points for the day. Reversal level pegged way below at 17420NF. #BullishNIFTY

Data Analysis: Dec 06th OI is BULLISH with range of 17400-17800.",2022-01-03T15:20:28.000Z
Look to buy Infy 1800 pe for Jan @ 15.5 #Nifty #Infosys #Infy #Options #Tradeing,2022-01-03T15:20:28.000Z
We might have a pause in #nifty tomorrow for 100 or odd points before new rally to 17900 levels,2022-01-03T15:20:28.000Z
"FII and DII Trading activities as on 03jan2022
FII F&O (Net)-660.63Cr
FII INDEX FUTURES+661.98Cr
FII INDEX  OPTIONS-1186.32Cr
FII STOCK FUTURES-346.39Cr
FII STOCK OPTIONS+210.1Cr
FII CASH+902.64Cr
DII CASH+803.11Cr
#Nifty #NewYear2022 #stocks",2022-01-03T15:20:28.000Z
"#17640 spot to track tomorrow for #Orderflow in the #Nifty 

easy move upto #17640 is done
Now let's see if bulls can power above this one",2022-01-03T15:20:28.000Z
"Today bought #banknifty 36000 PE at 430 exited at 400 as SL hit.
Bought #Nifty 17500 PE at 120
No SL kept. Just moved lower continuously. 
Today #Nifty moved around 300 points. Total 1300 points sharp upmove.
Will this continue? Doubtful!

#StockMarket #trading",2022-01-03T15:20:28.000Z
"padhairye firangi (fiis)
#Nifty #NIFTYFUTURE #StockMarket",2022-01-03T15:20:28.000Z
1st day of month and FII bought 902cr in cash... liquidity is coming back #NIFTY #FII,2022-01-03T15:20:28.000Z
"#Nifty #Banknifty #NIftyfuture #Bankniftyfuture 
#Cnxmidcap100 
Still my bear view not failed 

Today 2/3rd sell 17520

Now I wil not hurry to exit shorts 

Hdfc,bajfinance added today tht to on high 

Wil update all 

Longs must be cautious  here 
07411636001",2022-01-03T15:20:28.000Z
"Taking a loan means using the future cash flow to buy the things that you need today. Investing means using today's cash flow to buy the things that you need in the future. 

Choose Wisely!

#personalfinance #investments #sharemarketindia  #Nifty",2022-01-03T15:20:28.000Z
"US markets to close in negative tonight 

#dowjones #NASDAQ #NIFTYFUTURE #Nifty #banknifty #crudeoil #Brent",2022-01-03T15:20:28.000Z
"#17640 spot to track tomorrow for #Orderflow in the #Nifty 

easy move upto #17640 is done
Now let's see if bulls can power above this one",2022-01-03T14:22:00.000Z
"Today bought #banknifty 36000 PE at 430 exited at 400 as SL hit.
Bought #Nifty 17500 PE at 120
No SL kept. Just moved lower continuously. 
Today #Nifty moved around 300 points. Total 1300 points sharp upmove.
Will this continue? Doubtful!

#StockMarket #trading",2022-01-03T14:22:00.000Z
"padhairye firangi (fiis)
#Nifty #NIFTYFUTURE #StockMarket",2022-01-03T14:22:00.000Z
1st day of month and FII bought 902cr in cash... liquidity is coming back #NIFTY #FII,2022-01-03T14:22:00.000Z
"#Nifty #Banknifty #NIftyfuture #Bankniftyfuture 
#Cnxmidcap100 
Still my bear view not failed 

Today 2/3rd sell 17520

Now I wil not hurry to exit shorts 

Hdfc,bajfinance added today tht to on high 

Wil update all 

Longs must be cautious  here 
07411636001",2022-01-03T14:22:00.000Z
"Taking a loan means using the future cash flow to buy the things that you need today. Investing means using today's cash flow to buy the things that you need in the future. 

Choose Wisely!

#personalfinance #investments #sharemarketindia  #Nifty",2022-01-03T14:22:00.000Z
"US markets to close in negative tonight 

#dowjones #NASDAQ #NIFTYFUTURE #Nifty #banknifty #crudeoil #Brent",2022-01-03T14:22:00.000Z
"Naya saal ka pehla din nayi series..
Naya Josh
#Nifty #sharemarket",2022-01-03T14:22:00.000Z
"Stay Hungry, Stay Bullish.

#StockMarket #NSE #BSE #Nifty #Sensex #Equity #Finance",2022-01-03T14:22:00.000Z
"FII BUY 902.64 CR
DII BUY 803.11 CR

#sensex at 59183, 929pts, 1.6% up
#Nifty at 17625, 271pts, 1.6% up
#stockmarkets #stocks #wealth 

Follow 
@AnkitAce",2022-01-03T14:22:00.000Z
"Stock market is both fun & pain at the same time.
(Portfolio stocks going up - Fun.
Watchlist stocks going up - Pain)

#StockMarket 
#Nifty
#StockMarketindia",2022-01-03T14:22:00.000Z
"#Nifty #Banknifty #NIftyfuture #Bankniftyfuture 
#Cnxmidcap100 
#Infy 

Shorted infy 1885 after nifty rise 450 points Still price hanging over there only

Now decide where is strenth
& result in this month only",2022-01-03T14:22:00.000Z
"Petrol, Diesel Prices Remain Unchanged Across Metro Cities: Check Rates

Petrol and Diesel Prices Today: In the national capital, petrol is being sold for Rs 95.41 per litre, while diesel rates stood at Rs 86.67 per litre
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalys…",2022-01-03T14:22:00.000Z
"IPO-Bound OYO's 500 Employees, Ex-Staffers Buy Around 3 Crore Shares

More than 500 employees and ex-employees of IPO-bound OYO have exercised their stock options grants to purchase over three crore shares of the company
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysi…",2022-01-03T14:22:00.000Z
"Indian indices are off to a great start in 2022. #Sensex rallied 929 points to hit 59183, on the back of bullish sentiment in financial, banking & IT stocks. 

#Nifty 50 settled at 17,626, up 1.5%.

Top performers include:
Coal India 6%
Eicher Motors 4%
Bajaj Finance 3%",2022-01-03T14:22:00.000Z
"That's the start which symbolises this decade
#nifty
#2022 ",2022-01-03T14:22:00.000Z
"Kaha gaye jo log har roj post karta hai ki ""New equity curve high""?
#nifty #banknifty",2022-01-03T14:22:00.000Z
"FII/DII Data on 03-Jan-2022

FII Buy: ₹4226.30cr
FII Sell: ₹3323.66cr
FII Net: ₹902.64cr

DII Buy: ₹4815.58cr
DII Sell: ₹4012.47cr
DII Net: ₹803.11cr

Total Buy: ₹9041.88cr
Total Sell: ₹7336.13cr
Total Net: ₹1705.75cr

#IndianStockMarket #NSE #nifty #sensex",2022-01-03T14:22:00.000Z
"Flows in cash market on 3rd January 2022

FII net bought ₹903 cr
DII net bought ₹803 cr

New year party is on for the bulls as institutions show us the  

#StockMarket #Niftybank #Nifty",2022-01-03T14:22:00.000Z
"Institutional Data 
~FII net bought ₹903 cr
~DII net bought ₹803 cr
~Total bought 1706cr
#StockMarket #Nifty #sensex #StockMarketindia",2022-01-03T14:22:00.000Z
"1cr+ call writers are trap till 17600 in this week, #NIFTY",2022-01-03T14:22:00.000Z
Now I am worried. Everyone's year started with a bang. Kal see kahi fir purana gorakh dhanda na shuru ho jaye #Nifty and #BankNifty ka. Buy on dip kara ke pel do.,2022-01-03T14:22:00.000Z
"Less than 1% of active traders earn more money than a bank fixed deposit over a 3-year period. - 
@Nithin0dha
 
Big statement and very much true.....

#investing #Nifty #nifty50",2022-01-03T14:22:00.000Z
"Word on the street is that less than 1% active traders beat bank FD’s.

Now imagine the % of traders actually beating mutual funds, some of which have consistently given us a CAGR of 25 odd % 

 #Sensex #market #nifty #money #investing",2022-01-03T14:22:00.000Z
"Flows in cash market on 3rd January 2022

FII net bought ₹903 cr
DII net bought ₹803 cr

New year party is on for the bulls as institutions show us the  

#StockMarket #Nifty",2022-01-03T14:22:00.000Z
Now I am worried. Everyone's year started with a bang. Kal see kahi fir purana gorakh dhanda na shuru ho jaye #Nifty and #BankNifty ka. Buy on dip kara ke pel do.,2022-01-03T13:17:36.000Z
"Less than 1% of active traders earn more money than a bank fixed deposit over a 3-year period. - 
@Nithin0dha
 
Big statement and very much true.....

#investing #Nifty #nifty50",2022-01-03T13:17:36.000Z
"Word on the street is that less than 1% active traders beat bank FD’s.

Now imagine the % of traders actually beating mutual funds, some of which have consistently given us a CAGR of 25 odd % 

 #Sensex #market #nifty #money #investing",2022-01-03T13:17:36.000Z
"Flows in cash market on 3rd January 2022

FII net bought ₹903 cr
DII net bought ₹803 cr

New year party is on for the bulls as institutions show us the  

#StockMarket #Nifty",2022-01-03T13:17:36.000Z
"Well, the Bulls are back. What a way to start the years 

#Nifty #sensex #banknifty #trading",2022-01-03T13:17:36.000Z
"Performance on Day 1 

1) #balajiamines- 10% 
2) #Trigyn - 10% 
3) #banknifty - 800 points 
4) #NIFTY 100+ Points
5) #eichermotors - 5% 

All charts on timeline 
@kuttrapali26
 @chartworldat
 @SUM_Dhamija
 @AnshumanCharts",2022-01-03T13:17:36.000Z
"Expecting super bullish move in #astral above 2400, keep watch
#nifty
#banknifty
#nifty50",2022-01-03T13:17:36.000Z
"#StockMarket #nifty 
FII BUY - 902.64 Cr 
DII BUY - 803.11 Cr of India Shares today...",2022-01-03T13:17:36.000Z
"""The Less Homework you do , The more tuition fees you pay to the market "" 
           - Raamdeo Agrawal 

#Market #Nifty #NIFTYFUTURE #Niftybank #Nifty50 #BSE #NSE",2022-01-03T13:17:36.000Z
"Shagun toh achcha hua hai #2022 ka; let's see how the year pans out. 

Let's make a guess on #Nifty's High during the calendar year.",2022-01-03T13:17:36.000Z
"India's cotton Industry looks interesting . 
Many countries like America are banning cotton import from China . 

India's 23% cotton goes to the world . 
China plus one policy + PLI Scheme will give boost the textile industry of India
#cotton #Uscotton #Nifty #NIFTYFUTURE #BSE",2022-01-03T13:17:36.000Z
#FII have bought again today in cash and index futures. 17800 is open. #Nifty #NIFTYFUTURE #OptionsTrading,2022-01-03T13:17:36.000Z
"Shit shit shit, my bad today Banknifty gave such a good move and a great opportunity to make money.
Banknifty moved from 35500 to 36421 wooaah 940 points
Yaar I missed a golden opportunity to take this call
#Nifty #banknifty #trading #marketing #StockMarket #sharemarket",2022-01-03T13:17:36.000Z
"#Nifty 03JAN22

Gap up/down  +33.10
Day Body  +238.55
Day Range +263.35
Close at (LTP) - 17625.70
Candle - Bullish

Day - Since morning it's a purely trending day. 
Tomorrow view - Bullish
Auto sector did well.",2022-01-03T13:17:36.000Z
"Reliance & financials lead the rally on #nifty, only 6 index stocks end lower",2022-01-03T13:17:36.000Z
"Your view on Nifty50 for tomorrow :

#Nifty #Nifty50",2022-01-03T13:17:36.000Z
"Cement stocks – Media report that the Ambuja Cement to hike cement price by Rs35 a bag and JK Cement to hike Rs15 a bag

#CEMENT #NIFTY #SENSEX #CEMENTSTOCKS",2022-01-03T13:17:36.000Z
#Nifty formed a strong bullish candle and has been forming higher highs-higher lows on the daily frame.,2022-01-03T13:17:36.000Z
"#Nifty now follow-up only can save the retail, else building will collapse again",2022-01-03T13:17:36.000Z
"#marketupdate
-The BSE Sensex climbed 929.40 points or 1.60 percent to 59,183.22, and the Nifty50 jumped 271.70 points or 1.57 percent to 17,625.70, while Nifty Bank was up 940.20 points or 2.65 percent at 36,421.90.
#news #investonline #Sensex #Nifty  #COVID19 #india",2022-01-03T13:17:36.000Z
"#Nifty has broken the Lower High formation, which can be seen as current trend change, market might be giving a good gap up tomorrow. 
Let's see what #dowjones and #Nasdaq does!!
#trading #trendfollower #FNO",2022-01-03T13:17:36.000Z
"For investors who are still sceptical about stock markets, the #Nifty and #Sensex gave 23.8% returns in 2021. If you had bought an #IndexFund 5 years back, you would have earned 17.3% CAGR returns. #StockMarket investing is not about timing but about time in the market.",2022-01-03T13:17:36.000Z
"Where is omicron omicron omicron? 

Market is going upside 

Some one please stop him 

We need crash crash crash 

#Nifty 
#banknifty 
#Omicron",2022-01-03T13:17:36.000Z
#Nifty 3rd Jan 2022 H/L - 17646.1-17387.15 Started new year with a bang!,2022-01-03T13:17:36.000Z
"How To Identify Legitimate Crypto Coins: Key Points

The Squid Game token was a recent example of crypto-related scam. It tried to take advantage of the popularity of the Netflix show of the same name.
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options #Trading…",2022-01-03T13:17:36.000Z
"Reliance & financials lead the rally on #nifty, only 6 index stocks end lower",2022-01-03T12:45:43.000Z
"Your view on Nifty50 for tomorrow :

#Nifty #Nifty50",2022-01-03T12:45:43.000Z
"Cement stocks – Media report that the Ambuja Cement to hike cement price by Rs35 a bag and JK Cement to hike Rs15 a bag

#CEMENT #NIFTY #SENSEX #CEMENTSTOCKS",2022-01-03T12:45:43.000Z
#Nifty formed a strong bullish candle and has been forming higher highs-higher lows on the daily frame.,2022-01-03T12:45:43.000Z
"#Nifty now follow-up only can save the retail, else building will collapse again",2022-01-03T12:45:43.000Z
"#marketupdate
-The BSE Sensex climbed 929.40 points or 1.60 percent to 59,183.22, and the Nifty50 jumped 271.70 points or 1.57 percent to 17,625.70, while Nifty Bank was up 940.20 points or 2.65 percent at 36,421.90.
#news #investonline #Sensex #Nifty  #COVID19 #india",2022-01-03T12:45:43.000Z
"#Nifty has broken the Lower High formation, which can be seen as current trend change, market might be giving a good gap up tomorrow. 
Let's see what #dowjones and #Nasdaq does!!
#trading #trendfollower #FNO",2022-01-03T12:45:43.000Z
"For investors who are still sceptical about stock markets, the #Nifty and #Sensex gave 23.8% returns in 2021. If you had bought an #IndexFund 5 years back, you would have earned 17.3% CAGR returns. #StockMarket investing is not about timing but about time in the market.",2022-01-03T12:45:43.000Z
"Where is omicron omicron omicron? 

Market is going upside 

Some one please stop him 

We need crash crash crash 

#Nifty 
#banknifty 
#Omicron",2022-01-03T12:45:43.000Z
#Nifty 3rd Jan 2022 H/L - 17646.1-17387.15 Started new year with a bang!,2022-01-03T12:45:43.000Z
